,team1,team1_roster,team2,team2_roster,bo,match_score,map1,map1_score,map2,map2_score,map3,map3_score,map4,map4_score,map5,map5_score,winner,hltv_id
90,Vitality,"ZywOo, Spinx, mezii, flameZ, apEX",Eternal Fire,"XANTARES, woxic, Wicadia, Calyx, MAJ3R",3,1-2,Anubis,14-16,Nuke,13-5,Inferno,20-22,Not played,No score,Not played,No score,Eternal Fire,2375423
91,Vitality,"ZywOo, flameZ, Spinx, apEX, mezii",Virtus.pro,"Jame, FL1T, n0rb3r7, electroNic, fame",3,1-2,Mirage,22-20,Inferno,7-13,Dust2,5-13,Not played,No score,Not played,No score,Virtus.pro,2373286
92,Vitality,"ZywOo, flameZ, mezii, Spinx, apEX",Virtus.pro,"Jame, electroNic, FL1T, fame, n0rb3r7",3,1-2,Inferno,13-5,Dust2,11-13,Anubis,10-13,Not played,No score,Not played,No score,Virtus.pro,2372738
93,Vitality,"mezii, ZywOo, flameZ, Spinx, apEX",G2,"m0NESY, NiKo, huNter-, Stewie2K, nexa",3,1-2,Inferno,16-19,Anubis,16-13,Nuke,8-13,Not played,No score,Not played,No score,G2,2372350
94,Vitality,"ZywOo, Spinx, apEX, mezii, flameZ",9z,"dgt, MartinezSa, max, HUASOPEEK, buda",3,0-2,Dust2,9-13,Anubis,14-16,Not played,No score,Not played,No score,Not played,No score,9z,2372343
95,Vitality,"ZywOo, Spinx, flameZ, apEX, mezii",MOUZ,"xertioN, Brollan, siuhy, torzsi, Jimpphat",5,0-3,Inferno,9-13,Mirage,8-13,Nuke,5-13,Not played,No score,Not played,No score,MOUZ,2371552
96,Vitality,"ZywOo, mezii, Spinx, apEX, flameZ",FaZe,"frozen, rain, ropz, karrigan, broky",3,1-2,Nuke,7-13,Vertigo,13-5,Inferno,8-13,Not played,No score,Not played,No score,FaZe,2370725
97,Vitality,"ZywOo, apEX, Spinx, flameZ, mezii",Eternal Fire,"XANTARES, woxic, MAJ3R, Wicadia, Calyx",1,0-1,Inferno,10-13,Not played,No score,Not played,No score,Not played,No score,Not played,No score,Eternal Fire,2370630
98,Vitality,"ZywOo, Spinx, flameZ, mezii, apEX",Cloud9,"electroNic, Boombl4, Ax1Le, Perfecto, HObbit",3,1-2,Overpass,8-13,Inferno,13-8,Anubis,5-13,Not played,No score,Not played,No score,Cloud9,2369936
99,Vitality,"ZywOo, flameZ, apEX, Spinx, mezii",HEROIC,"TeSeS, NertZ, kyxsan, nicoodoz, sjuush",3,1-2,Mirage,14-16,Anubis,13-11,Vertigo,13-16,Not played,No score,Not played,No score,HEROIC,2369495
100,Vitality,"ZywOo, flameZ, apEX, mezii, Spinx",ENCE,"hades, Goofy, Kylar, gla1ve, dycha",3,1-2,Vertigo,6-13,Anubis,13-4,Nuke,8-13,Not played,No score,Not played,No score,ENCE,2369412
101,Vitality,"ZywOo, Spinx, flameZ, apEX, mezii",Astralis,"stavn, device, jabbi, blameF, Staehr",3,1-2,Mirage,10-13,Vertigo,13-6,Overpass,4-13,Not played,No score,Not played,No score,Astralis,2368864
